year,month,hour,weekday,crashes,fatal,serious
2023,3,6,3,107,1,13
2023,3,6,4,137,1,15
2023,3,6,5,131,1,17
2023,3,6,6,122,1,14
2023,3,6,7,33,1,8
2023,3,7,1,33,2,8
2023,3,7,2,208,0,24
2023,3,7,3,258,1,38
2023,3,7,4,375,1,40
2023,3,7,5,256,0,24
2023,3,7,6,207,0,24
2023,3,7,7,24,0,3
2023,3,8,1,22,1,3
2023,3,8,2,141,2,23
2023,3,8,3,200,2,26
2023,3,8,4,230,0,23
2023,3,8,5,200,2,22
2023,3,8,6,150,1,18
2023,3,8,7,51,0,10
2023,3,9,1,26,1,4
2023,3,9,2,112,4,12
2023,3,9,3,109,1,18
2023,3,9,4,147,2,20
2023,3,9,5,143,2,16
2023,3,9,6,139,3,34
2023,3,9,7,99,0,18
2023,3,10,1,30,2,5
2023,3,10,2,109,0,16
2023,3,10,3,129,1,20
2023,3,10,4,157,1,31
2023,3,10,5,134,2,17
2023,3,10,6,176,3,29
2023,3,10,7,105,1,16
2023,3,11,1,59,0,15
2023,3,11,2,141,2,27
2023,3,11,3,136,2,17
2023,3,11,4,175,1,22
2023,3,11,5,159,3,28
2023,3,11,6,211,1,40
2023,3,11,7,137,0,18
2023,3,12,1,73,2,14
2023,3,12,2,138,1,27
2023,3,12,3,151,0,27
2023,3,12,4,184,0,26
2023,3,12,5,184,1,20
2023,3,12,6,232,0,29
2023,3,12,7,156,2,30
2023,3,13,1,100,3,15
2023,3,13,2,190,1,23
2023,3,13,3,193,1,26
2023,3,13,4,234,1,35
2023,3,13,5,275,2,47
2023,3,13,6,357,0,53
2023,3,13,7,164,4,23
2023,3,14,1,105,2,16
2023,3,14,2,187,1,23
2023,3,14,3,199,0,15
2023,3,14,4,254,3,41
2023,3,14,5,268,4,32
2023,3,14,6,345,2,34
2023,3,14,7,192,4,46
2023,3,15,1,107,1,18
2023,3,15,2,245,4,28
2023,3,15,3,232,0,36
2023,3,15,4,280,1,28
2023,3,15,5,332,3,44
2023,3,15,6,287,1,37
2023,3,15,7,162,2,31
2023,3,16,1,72,1,13
2023,3,16,2,253,1,33
2023,3,16,3,236,1,31
2023,3,16,4,291,2,37
2023,3,16,5,312,1,35
2023,3,16,6,244,5,31
2023,3,16,7,147,0,22
2023,3,17,1,112,0,20
2023,3,17,2,215,2,33
2023,3,17,3,209,0,34
2023,3,17,4,234,0,40
2023,3,17,5,281,3,44
2023,3,17,6,210,1,35
2023,3,17,7,135,0,28
2023,3,18,1,75,0,13
2023,3,18,2,137,2,24
2023,3,18,3,119,0,22
2023,3,18,4,171,1,27
2023,3,18,5,168,2,25
2023,3,18,6,193,2,30
2023,3,18,7,106,1,19
2023,3,19,1,76,0,11
2023,3,19,2,97,0,18
2023,3,19,3,97,1,17
2023,3,19,4,118,1,23
2023,3,19,5,119,2,20
2023,3,19,6,168,1,15
2023,3,19,7,95,2,19
2023,3,20,1,44,1,10
2023,3,20,2,60,0,16
2023,3,20,3,69,0,13
2023,3,20,4,80,1,13
2023,3,20,5,82,2,15
2023,3,20,6,107,0,18
2023,3,20,7,60,1,10
2023,3,21,1,39,0,6
2023,3,21,2,59,0,16
2023,3,21,3,51,1,8
2023,3,21,4,56,0,10
2023,3,21,5,64,1,10
2023,3,21,6,85,1,15
2023,3,21,7,56,0,14
2023,3,22,1,33,1,4
2023,3,22,2,34,0,3
2023,3,22,3,29,0,2
2023,3,22,4,43,0,6
2023,3,22,5,47,0,10
2023,3,22,6,86,3,17
2023,3,22,7,61,0,10
2023,3,23,1,25,1,3
2023,3,23,2,31,1,5
2023,3,23,3,30,2,4
2023,3,23,4,25,0,6
2023,3,23,5,28,2,7
2023,3,23,6,61,1,11
2023,3,23,7,50,0,6
2023,4,0,1,56,1,12
